postcode,totalprops,last14,average,median,avgtom
DE12,24,10,£693 pcm,£657 pcm,119 days
DE13,81,10,£667 pcm,£595 pcm,196 days
DE14,131,28,£488 pcm,£477 pcm,186 days
DE15,29,3,£668 pcm,£575 pcm,161 days
DE21,44,11,£539 pcm,£524 pcm,129 days
DG1,16,5,£470 pcm,£457 pcm,49 days
DG2,8,1,£536 pcm,£463 pcm,41 days
DG3,3,0,£568 pcm,£459 pcm,95 days
DG4,5,0,£372 pcm,£347 pcm,102 days
DG5,1,0,£560 pcm,£560 pcm,37 days
DG6,1,0,£450 pcm,£450 pcm,32 days
DG7,10,1,£456 pcm,£457 pcm,34 days
DG8,11,3,£426 pcm,£399 pcm,73 days
DH1,240,20,£988 pcm,£715 pcm,200 days
DH2,87,12,£460 pcm,£435 pcm,140 days
DH3,70,16,£484 pcm,£455 pcm,138 days
DH4,79,7,£552 pcm,£450 pcm,147 days
DH5,101,9,£447 pcm,£430 pcm,172 days
DH6,125,19,£490 pcm,£450 pcm,157 days
DL1,125,22,£471 pcm,£451 pcm,147 days
DL2,24,8,"£1,030 pcm",£642 pcm,160 days
DL3,153,30,£480 pcm,£420 pcm,192 days
DL4,78,10,£390 pcm,£377 pcm,163 days
DL5,49,9,£529 pcm,£477 pcm,150 days
DL6,17,8,£640 pcm,£598 pcm,84 days
DL7,16,4,£730 pcm,£650 pcm,65 days
DL8,28,5,£594 pcm,£540 pcm,120 days
DL9,16,5,£523 pcm,£513 pcm,188 days
DN1,176,19,£430 pcm,£425 pcm,229 days
DN2,70,8,£463 pcm,£425 pcm,205 days
DN3,37,4,£524 pcm,£524 pcm,366 days
DN4,191,29,£479 pcm,£451 pcm,257 days
DN5,67,6,£490 pcm,£451 pcm,244 days
DN6,51,4,£463 pcm,£433 pcm,224 days
DN7,24,4,£472 pcm,£490 pcm,212 days
DN8,17,2,£443 pcm,£450 pcm,210 days
DN9,21,6,£573 pcm,£550 pcm,156 days
DN10,15,4,£674 pcm,£624 pcm,219 days
DN11,31,5,£516 pcm,£498 pcm,172 days
DN12,32,6,£536 pcm,£463 pcm,219 days
DN14,64,11,£547 pcm,£512 pcm,118 days
DN15,43,9,£546 pcm,£524 pcm,134 days
DN16,39,6,£456 pcm,£477 pcm,133 days
DN17,27,5,£476 pcm,£494 pcm,120 days
DN18,16,1,£576 pcm,£538 pcm,216 days
DT1,51,11,£876 pcm,£800 pcm,135 days
DT2,39,8,£968 pcm,£850 pcm,86 days
DT3,19,8,£873 pcm,£750 pcm,75 days
DT4,64,12,£653 pcm,£650 pcm,165 days
DT5,36,4,£762 pcm,£763 pcm,133 days
DT6,44,11,£737 pcm,£694 pcm,96 days
DY1,76,16,£519 pcm,£524 pcm,112 days
DY2,69,10,£569 pcm,£535 pcm,183 days
DY3,19,4,£552 pcm,£525 pcm,124 days
DY4,46,9,£554 pcm,£510 pcm,161 days
DY5,88,22,£658 pcm,£525 pcm,150 days
DY6,23,6,£632 pcm,£640 pcm,63 days
DY7,13,3,"£1,056 pcm",£750 pcm,216 days
E1,"1,979",337,"£2,022 pcm","£1,842 pcm",136 days
E2,679,153,"£1,777 pcm","£1,733 pcm",127 days
E3,734,136,"£1,509 pcm","£1,430 pcm",149 days
E4,153,32,"£1,380 pcm","£1,248 pcm",122 days
E5,224,55,"£1,618 pcm","£1,524 pcm",122 days
E6,314,46,"£1,316 pcm","£1,300 pcm",174 days
E7,323,47,"£1,457 pcm","£1,369 pcm",175 days
E8,399,91,"£1,913 pcm","£1,824 pcm",129 days
E9,228,55,"£1,894 pcm","£1,820 pcm",123 days
E10,328,59,"£1,379 pcm","£1,296 pcm",146 days
EC1,696,129,"£2,692 pcm","£2,397 pcm",156 days
EC2,188,32,"£3,047 pcm","£2,503 pcm",194 days
EH1,55,13,"£1,719 pcm","£1,352 pcm",148 days
EH2,16,5,"£2,147 pcm","£1,950 pcm",214 days
EH3,199,36,"£1,751 pcm","£1,452 pcm",163 days
