postcode,totalprops,last14,average,median,avgtom
W4,710,116,2516,1907,200
W5,,158,2020,1699,180
W6,961,127,2634,2427,161
W7,105,29,1513,1400,144
WA1,64,10,536,530,176
WA2,72,10,610,607,177
WA3,54,16,590,550,147
WA4,115,26,821,625,163
WA5,85,14,652,650,165
WA6,22,4,713,693,217
WA7,96,20,534,495,135
WA8,153,25,600,500,150
WA9,114,17,499,451,138
WC1,675,106,2449,2167,194
WD3,95,21,1831,1250,129
WD4,37,10,1546,1250,138
WD5,22,5,1347,1226,88
WD6,80,11,1616,1248,134
WD7,34,6,3394,2572,106
WD17,163,32,1185,975,141
WF1,126,23,576,498,170
WF2,46,10,547,495,159
WF3,36,15,623,550,128
WF4,42,12,570,550,114
WF5,22,3,549,476,216
WF6,23,2,551,550,183
WF7,35,8,581,524,149
WF8,61,9,529,477,133
WF9,74,14,533,468,114
WN1,71,13,473,451,145
WN2,87,20,476,451,105
WN3,34,8,514,495,134
WN4,31,7,502,498,167
WR1,61,16,607,576,154
WR2,51,12,754,485,167
WR3,23,5,794,650,116
WR4,26,8,615,624,109
WR5,50,17,694,676,93
WR6,6,0,711,723,347
WR7,3,0,1132,802,68
WR8,11,2,864,559,24
WS1,86,13,500,451,177
WS2,94,18,484,492,101
WS3,53,12,523,494,113
WS4,19,4,566,546,115
WS5,19,5,753,700,175
WS6,13,4,566,550,52
WS7,17,5,649,675,138
WS8,12,5,626,637,125
WV1,86,8,544,477,173
WV2,48,7,520,512,272
WV3,125,16,518,485,159
WV4,70,12,714,598,275
WV5,21,6,1031,650,95
WV6,136,21,600,511,165
WV7,4,0,875,651,256
WV8,18,1,758,690,190
WV9,18,6,504,429,183
YO1,43,17,893,849,86
YO7,42,14,629,576,187
YO8,80,14,577,550,148
YO10,57,12,876,802,135
YO11,65,14,593,498,130
YO12,62,10,575,525,121
YO13,3,1,658,700,209
YO14,14,5,614,563,150
YO15,30,9,380,360,92
YO16,21,8,491,450,35
YO17,33,10,562,550,111
YO18,16,4,610,526,126
YO19,20,4,1311,985,80
YO21,16,3,541,497,137
YO22,5,0,769,675,41
YO23,47,13,1000,897,166
ZE1,0,0,,,
ZE2,0,0,,,
BL1,173,29,608,494,170
NG11,40,12,799,663,169
SA37,1,0,750,750,236
