postcode,totalprops,last14,average,median,avgtom
LA8,8,3,695,688,147
LA9,61,12,560,550,166
LA10,4,1,605,573,72
LA11,16,1,706,643,206
LA12,40,10,635,595,102
LD1,14,3,398,386,265
LD2,15,2,507,525,100
LD3,35,6,557,550,191
LD4,0,0,,,
LE1,195,20,691,594,259
LE2,360,74,738,650,202
LE3,211,35,685,598,165
LE4,95,20,765,702,102
LE5,108,25,725,650,162
LE6,14,5,1002,856,56
LE7,40,14,984,763,84
LE8,32,14,729,625,130
LE9,56,9,732,595,132
LE10,74,29,680,648,117
LE11,320,123,1034,780,129
LE12,63,15,697,650,155
LE13,44,10,540,568,106
LE14,23,7,859,600,93
LL11,69,9,535,495,119
LL12,33,7,728,625,89
LL13,74,9,533,525,101
LL14,41,5,550,525,66
LL15,12,0,793,650,408
LL16,16,3,591,500,187
LL17,11,3,517,450,120
LL18,65,10,514,498,173
LL19,16,2,623,597,141
LL20,11,1,573,500,55
LL21,2,0,495,495,244
LL22,19,3,581,581,110
LL23,0,0,,,
LL24,0,0,,,
LL25,1,1,575,575,4
LL26,4,0,547,533,217
LL27,0,0,,,
LL28,13,1,785,695,171
LL29,39,10,531,495,158
LL30,24,6,594,575,146
LL31,11,2,686,650,116
LL32,10,4,767,700,94
LL33,9,2,447,460,117
LL34,8,1,483,495,75
LL35,0,0,,,
LL36,2,0,512,512,37
LL37,0,0,,,
LL38,0,0,,,
LL39,0,0,,,
LL40,6,0,418,425,135
LL41,5,0,416,400,66
LL42,0,0,,,
LL43,0,0,,,
LL44,0,0,,,
LN1,135,17,687,563,223
LN2,135,23,705,594,182
LN3,7,5,600,624,11
LN4,37,12,703,693,139
LN5,172,15,597,477,191
LN6,51,12,685,650,153
LN7,11,2,547,481,281
LS1,79,12,975,897,165
LS2,164,16,1053,849,206
LS3,92,4,1153,910,289
LS4,192,19,945,761,262
LS5,47,11,861,695,197
LS6,,52,1481,1387,334
LS7,111,16,846,795,189
LS8,118,24,730,595,145
LS9,134,26,650,625,216
LS10,98,29,782,702,168
LS11,123,12,706,598,335
LS12,122,22,589,550,170
LS13,56,13,611,598,161
LS14,46,11,610,611,172
LS15,33,13,611,550,99
LS16,72,15,1077,850,194
LU1,373,72,877,800,151
LU2,199,41,964,875,132
LU3,159,30,914,895,120
LU4,132,36,959,949,96
M1,322,60,1068,950,136
M2,17,2,1317,1105,75
M3,267,68,1197,995,162
M4,215,54,981,900,165
M5,151,34,856,823,113
